A̱o,Trimestre,Accesos por cada 100 hab,Periodo
2013,1,154,Ene-Mar 2013
2013,2,156,Abr-Jun 2013
2013,3,159,Jul-Sept 2013
2013,4,159,Oct-Dic 2013
2014,1,148,Ene-Mar 2014
2014,2,143,Abr-Jun 2014
2014,3,143,Jul-Sept 2014
2014,4,143,Oct-Dic 2014
2015,1,140,Ene-Mar 2015
2015,2,139,Abr-Jun 2015
2015,3,141,Jul-Sept 2015
2015,4,143,Oct-Dic 2015
2016,1,142,Ene-Mar 2016
2016,2,143,Abr-Jun 2016
2016,3,146,Jul-Sept 2016
2016,4,146,Oct-Dic 2016
2017,1,144,Ene-Mar 2017
2017,2,143,Abr-Jun 2017
2017,3,141,Jul-Sept 2017
2017,4,140,Oct-Dic 2017
2018,1,137,Ene-Mar 2018
2018,2,134,Abr-Jun 2018
2018,3,132,Jul-Sept 2018
2018,4,131,Oct-Dic 2018
2019,1,131,Ene-Mar 2019
2019,2,129,Abr-Jun 2019
2019,3,129,Jul-Sept 2019
2019,4,125,Oct-Dic 2019
2020,1,124,Ene-Mar 2020
2020,2,122,Abr-Jun 2020
2020,3,120,Jul-Sept 2020
2020,4,120,Oct-Dic 2020
2021,1,124,Ene-Mar 2021
2021,2,124,Abr-Jun 2021
2021,3,126,Jul-Sept 2021
2021,4,128,Oct-Dic 2021
2022,1,129,Ene-Mar 2022
2022,2,129,Abr-Jun 2022
2022,3,129,Jul-Sept 2022
